Algorithm,Function,Dimension,Population,Best Value,Execution Time
gwo,ackley_function,2,10,0.0007498345093608378,0.0006949901580810547
gwo,ackley_function,2,20,-0.4995048001554194,0.0009019374847412109
gwo,ackley_function,2,20,-0.5008643242421323,0.0009019374847412109
gwo,ackley_function,2,30,4.568531120575995e-09,0.0011930465698242188
gwo,ackley_function,2,30,1.9784913946658878e-08,0.0011930465698242188
gwo,ackley_function,2,40,-3.4524165458881498e-09,0.0014274120330810547
gwo,ackley_function,2,40,1.757159365459457e-08,0.0014274120330810547
gwo,ackley_function,2,50,-1.6888146754129924e-13,0.001664876937866211
gwo,ackley_function,2,50,-2.5845121227660456e-13,0.001664876937866211
gwo,ackley_function,3,10,-6.309392093911993,0.0006959438323974609
gwo,ackley_function,3,10,-0.23302614936629318,0.0006959438323974609
gwo,ackley_function,3,10,-6.358495653613999,0.0006959438323974609
gwo,ackley_function,3,20,0.033544101285382856,0.0009739398956298828
gwo,ackley_function,3,20,-6.247730238258968,0.0009739398956298828
gwo,ackley_function,3,20,-6.2677164350949575,0.0009739398956298828
gwo,ackley_function,3,30,-0.11557133920172202,0.0013620853424072266
gwo,ackley_function,3,30,-6.224403022597211,0.0013620853424072266
gwo,ackley_function,3,30,6.408770774389924,0.0013620853424072266
gwo,ackley_function,3,40,-0.0001152519875883793,0.0015339851379394531
gwo,ackley_function,3,40,0.0001734089437763737,0.0015339851379394531
gwo,ackley_function,3,40,0.00015385875273115973,0.0015339851379394531
gwo,ackley_function,3,50,-0.0002985669346078866,0.0017299652099609375
gwo,ackley_function,3,50,0.00021358874660839483,0.0017299652099609375
gwo,ackley_function,3,50,-0.00038060842449096684,0.0017299652099609375
gwo,ackley_function,5,10,-0.26623875748670184,0.000766754150390625
gwo,ackley_function,5,10,6.255771681906144,0.000766754150390625
gwo,ackley_function,5,10,-0.42203257015833723,0.000766754150390625
gwo,ackley_function,5,10,0.27575632073343215,0.000766754150390625
gwo,ackley_function,5,10,0.4937829687533471,0.000766754150390625
